architecture,strain,cycle_sequence,delta_R_over_R0_percent
CNT/CB single layer,30%,0.6724949562878278,19.005719313682366
CNT/CB single layer,30%,0.6741761936785474,18.829740431148263
CNT/CB single layer,30%,0.6758574310692669,18.69775626924768
CNT/CB single layer,30%,0.6775386684599866,18.47778266608006
CNT/CB single layer,30%,0.6792199058507062,18.169819621645402
CNT/CB single layer,30%,0.6809011432414257,18.037835459744823
CNT/CB single layer,30%,0.6825823806321453,17.72987241531016
CNT/CB single layer,30%,0.6842636180228647,17.553893532776062
CNT/CB single layer,30%,0.6859448554135844,17.421909370875504
CNT/CB single layer,30%,0.6876260928043041,17.289925208974925
CNT/CB single layer,30%,0.6893073301950235,17.157941047074342
CNT/CB single layer,30%,0.6909885675857431,16.981962164540263
CNT/CB single layer,30%,0.6926698049764626,16.805983282006164
CNT/CB single layer,30%,0.6943510423671823,16.63000439947206
CNT/CB single layer,30%,0.6960322797579019,16.49802023757148
CNT/CB single layer,30%,0.6977135171486214,16.27804663440386
CNT/CB single layer,30%,0.699394754539341,16.146062472503303
CNT/CB single layer,30%,0.7010759919300604,15.970083589969203
CNT/CB single layer,30%,0.7027572293207801,15.794104707435103
CNT/CB single layer,30%,0.7044384667114996,15.618125824901002
CNT/CB single layer,30%,0.7061197041022192,15.13418389793224
CNT/CB single layer,30%,0.7078009414929388,14.73823141223052
CNT/CB single layer,30%,0.7094821788836583,14.562252529696446
CNT/CB single layer,30%,0.711163416274378,14.298284205895282
CNT/CB single layer,30%,0.7128446536650974,14.122305323361203
CNT/CB single layer,30%,0.7145258910558171,13.946326440827104
CNT/CB single layer,30%,0.7162071284465367,13.814342278926523
CNT/CB single layer,30%,0.7178883658372561,13.682358117025965
CNT/CB single layer,30%,0.7195696032279758,13.506379234491863
CNT/CB single layer,30%,0.7212508406186953,13.37439507259128
CNT/CB single layer,30%,0.722932078009415,13.242410910690724
CNT/CB single layer,30%,0.7246133154001345,13.022437307523106
CNT/CB single layer,30%,0.726294552790854,12.802463704355485
