group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,11.18032,275.53737
Fr-PA-10,11.20674,276.55075
Fr-PA-10,11.23418,276.90842
Fr-PA-10,11.28984,276.4483
Fr-PA-10,11.28984,276.4483
Fr-PA-10,11.31816,275.03812
Fr-PA-10,11.34722,273.56277
Fr-PA-10,11.37354,273.0896
Fr-PA-10,11.40156,273.5255
Fr-PA-10,11.43057,275.80748
Fr-PA-10,11.45713,278.40986
Fr-PA-10,11.48462,279.19226
Fr-PA-10,11.51362,279.26862
Fr-PA-10,11.54019,279.69148
Fr-PA-10,11.56836,279.39715
Fr-PA-10,11.59746,278.6278
Fr-PA-10,11.62334,279.16617
Fr-PA-10,11.65127,279.90944
Fr-PA-10,11.68042,279.67844
Fr-PA-10,11.70718,280.08826
Fr-PA-10,11.73442,279.90944
Fr-PA-10,11.76367,279.29471
Fr-PA-10,11.79019,278.48623
Fr-PA-10,11.81826,277.83237
Fr-PA-10,11.84717,277.69079
Fr-PA-10,11.87314,275.97327
Fr-PA-10,11.90127,275.3958
Fr-PA-10,11.93027,276.24338
Fr-PA-10,11.95674,276.94752
Fr-PA-10,11.98438,275.34549
Fr-PA-10,12.01401,276.11485
Fr-PA-10,12.04028,278.07641
Fr-PA-10,12.06787,278.97429
Fr-PA-10,12.09702,278.86999
Fr-PA-10,12.12354,277.4859
Fr-PA-10,12.15181,276.06268
Fr-PA-10,12.18081,275.84474
Fr-PA-10,12.20708,277.45981
Fr-PA-10,12.23442,279.92249
Fr-PA-10,12.26357,280.55024
Fr-PA-10,12.29009,280.96008
Fr-PA-10,12.31851,281.57668
Fr-PA-10,12.34692,281.74245
Fr-PA-10,12.37339,281.65305
Fr-PA-10,12.40161,281.64001
Fr-PA-10,12.43057,281.92129
Fr-PA-10,12.45693,281.64001
Fr-PA-10,12.48438,280.35839
Fr-PA-10,12.51362,278.89605
Fr-PA-10,12.53999,277.39646
Fr-PA-10,12.56807,275.61374
Fr-PA-10,12.59707,274.78106
Fr-PA-10,12.62349,274.5631
Fr-PA-10,12.65166,275.05116
Fr-PA-10,12.67993,276.06268
Fr-PA-10,12.70718,278.4471
Fr-PA-10,12.73452,279.47354
Fr-PA-10,12.76353,279.0637
Fr-PA-10,12.79023,278.53839
Fr-PA-10,12.81772,276.94752
Fr-PA-10,12.84644,275.24304
Fr-PA-10,12.87397,274.88351
